year,community_area,primary_type,not_arrests,arrests,incidents,community_name,acs_year,total_population,arrest_rate,incidents_per_100k
2021,8,Liquor Law Violation,0,15,15,Near North Side,2023,91635,100.0,16.37
2021,8,Motor Vehicle Theft,447,17,464,Near North Side,2023,91635,3.66,506.36
2021,8,Narcotics,5,69,74,Near North Side,2023,91635,93.24,80.76
2021,8,Obscenity,0,1,1,Near North Side,2023,91635,100.0,1.09
2021,8,Offense Involving Children,19,5,24,Near North Side,2023,91635,20.83,26.19
2021,8,Other Offense,336,14,350,Near North Side,2023,91635,4.0,381.95
2021,8,Public Peace Violation,19,22,41,Near North Side,2023,91635,53.66,44.74
2021,8,Robbery,318,23,341,Near North Side,2023,91635,6.74,372.13
2021,8,Sex Offense,49,3,52,Near North Side,2023,91635,5.77,56.75
2021,8,Stalking,15,0,15,Near North Side,2023,91635,0.0,16.37
2021,8,Theft,2652,147,2799,Near North Side,2023,91635,5.25,3054.51
2021,8,Weapons Violation,30,256,286,Near North Side,2023,91635,89.51,312.11
2021,9,Assault,15,2,17,Edison Park,2023,11398,11.76,149.15
2021,9,Battery,32,7,39,Edison Park,2023,11398,17.95,342.17
2021,9,Burglary,9,0,9,Edison Park,2023,11398,0.0,78.96
2021,9,Criminal Damage,25,0,25,Edison Park,2023,11398,0.0,219.34
2021,9,Criminal Sexual Assault,3,0,3,Edison Park,2023,11398,0.0,26.32
2021,9,Criminal Trespass,4,1,5,Edison Park,2023,11398,20.0,43.87
2021,9,Deceptive Practice,63,0,63,Edison Park,2023,11398,0.0,552.73
2021,9,Intimidation,2,0,2,Edison Park,2023,11398,0.0,17.55
2021,9,Motor Vehicle Theft,6,0,6,Edison Park,2023,11398,0.0,52.64
2021,9,Offense Involving Children,3,0,3,Edison Park,2023,11398,0.0,26.32
2021,9,Other Offense,22,1,23,Edison Park,2023,11398,4.35,201.79
2021,9,Public Peace Violation,1,0,1,Edison Park,2023,11398,0.0,8.77
2021,9,Robbery,1,0,1,Edison Park,2023,11398,0.0,8.77
2021,9,Sex Offense,2,1,3,Edison Park,2023,11398,33.33,26.32
